time,speed,throttle,brake,gear
1774799604.2583413,124,117,79,131
1774799604.3112943,124,117,79,131
1774799604.3113153,124,117,79,131
1774799604.3113198,124,117,79,131
1774799604.3113232,124,117,79,131
1774799604.3113263,124,117,79,131
1774799604.3113294,124,117,79,131
1774799604.3113325,124,117,79,131
1774799604.3113353,124,117,79,131
1774799604.3476114,124,117,79,131
1774799604.3588586,124,117,79,131
1774799604.3588758,124,117,79,131
1774799604.3588796,124,117,79,131
1774799604.3588827,124,117,79,131
1774799604.358886,124,117,79,131
1774799604.3588884,124,117,79,131
1774799604.358891,124,117,79,131
1774799604.4059684,124,117,79,131
1774799604.4059854,124,117,79,131
1774799604.4059892,124,117,79,131
1774799604.4059918,124,117,79,131
1774799604.4059942,124,117,79,131
1774799604.4059968,124,117,79,131
1774799604.406005,124,117,79,131
1774799604.406023,124,117,79,131
1774799604.415923,124,117,79,131
1774799604.4587893,124,117,79,131
1774799604.4588063,124,117,79,131
1774799604.4588108,124,117,79,131
1774799604.4588137,124,117,79,131
1774799604.4588165,124,117,79,131
1774799604.4588258,124,117,79,131
1774799604.45883,124,117,79,131
1774799604.5061104,124,117,79,131
1774799604.506128,124,117,79,131
1774799604.506132,124,117,79,131
1774799604.5061347,124,117,79,131
1774799604.5061378,124,117,79,131
1774799604.5061407,124,117,79,131
1774799604.5061471,124,117,79,131
1774799604.506149,124,117,79,131
1774799604.5061512,124,117,79,131
1774799604.5061536,124,117,79,131
1774799604.5478325,124,117,79,131
1774799604.5590222,124,117,79,131
1774799604.5590396,124,117,79,131
1774799604.559045,124,117,79,131
1774799604.5590491,124,117,79,131
1774799604.5590534,124,117,79,131
1774799604.5590568,124,117,79,131
1774799604.5590587,124,117,79,131
1774799604.6068892,124,117,79,131
1774799604.6069062,124,117,79,131
1774799604.6069098,124,117,79,131
1774799604.606913,124,117,79,131
1774799604.6069155,124,117,79,131
1774799604.6069179,124,117,79,131
1774799604.6069202,124,117,79,131
1774799604.6069288,124,117,79,131
1774799604.6442082,124,117,79,131
1774799604.6603208,124,117,79,131
1774799604.6605732,124,117,79,131
1774799604.6605875,124,117,79,131
1774799604.660602,124,117,79,131
1774799604.6606076,124,117,79,131
1774799604.6606126,124,117,79,131
1774799604.6606255,124,117,79,131
1774799604.6606305,124,117,79,131
1774799604.7085352,124,117,79,131
1774799604.708571,124,117,79,131
1774799604.7085752,124,117,79,131
1774799604.7085793,124,117,79,131
1774799604.7085826,124,117,79,131
1774799604.7085857,124,117,79,131
1774799604.70859,124,117,79,131
1774799604.7085948,124,117,79,131
1774799604.756112,124,117,79,131
